Codigo,Fabricante,Descricao dos Produtos,UN,EAN/GTIN,Quantidade,Valor,Contar Nome,Contar Barcode,EAN SEARCH,TÍTULO
11065,METALKIT,NIPLE 1.1/2 METAL,UN-UN,SEM GTIN,2,"29,00",1,,,
22237,BELMAR METAIS,NIPLE 1.1/4,UN-UN,,3,"31,00",1,,,
11064,METALKIT,NIPLE 1.1/4 METAL,UN-UN,SEM GTIN,,"21,00",1,,,
11061,METALKIT,NIPLE 1/2 METAL,UN-UN,7898914282000,4,"5,50",1,1,https://www.ean-search.org/?q=7898914282000,
11066,METALKIT,NIPLE 2 METAL,UN-UN,SEM GTIN,8,"41,50",1,,,
11062,METALKIT,NIPLE 3/4 METAL,UN-UN,7898914283007,8,"8,50",1,1,https://www.ean-search.org/?q=7898914283007,
11060,METALKIT,NIPLE 3/8 METAL,UN-UN,SEM GTIN,12,"3,70",1,,,
2835,JACKWALL,NIPLE BORBOLETA ROSCA 5/8 UNC,UN-UN,7891057232109,5,"17,90",1,1,https://www.ean-search.org/?q=7891057232109,
11067,METALKIT,"NIPLE DE METAL RXR 2.1/2""",UN-UN,SEM GTIN,3,"46,00",1,,,
10948,METALKIT,"NIPLE DE REDUCAO METAL RXR 1.1/4X1/2""",UN-UN,SEM GTIN,,,1,,,
10949,METALKIT,"NIPLE DE REDUCAO METAL RXR 1.1/4X3/4""",UN-UN,SEM GTIN,,,1,,,
10958,METALKIT,"NIPLE DE REDUCAO METAL RXR 2X1.1/2""",UN-UN,SEM GTIN,,,1,,,
10960,METALKIT,NIPLE DE REDUCAO METAL RXR 3X2.1/2,UN-UN,SEM GTIN,,,1,,,
10959,METALKIT,NIPLE DE REDUCAO METALO RXR 2.1/2X2,UN-UN,SEM GTIN,,,1,,,
11070,METALKIT,NIPLE LISO 1/2 MED 40MM METAL,UN-UN,SEM GTIN,,"4,70",1,,,
11071,METALKIT,NIPLE LISO 3/4 MED 40MM METAL,UN-UN,SEM GTIN,,"5,50",1,,,
17945,GARDEN,NIPLE MACHO 1/2X1/4,UN-UN,SEM GTIN,21,"7,90",1,,,
7689,GARDEN,NIPLE MACHO 1/2X3/8 NPT,UN-UN,SEM GTIN,11,"9,90",1,,,
7688,GARDEN,NIPLE MACHO 3/8 1/4 NPT,UN-UN,SEM GTIN,13,"6,50",1,,,
11598,RACUIA/TERUYA,NIPLE P/LUSTRE/SPOT 100MM,UN-UN,SEM GTIN,5,"2,50",1,,,
11597,RACUIA/TERUYA,NIPLE P/LUSTRE/SPOT 50MM,UN-UN,7898112191067,84,"1,50",1,1,https://www.ean-search.org/?q=7898112191067,
10944,METALKIT,NIPLE RED 1/2 X 3/8 METAL,UN-UN,SEM GTIN,,"4,10",1,,,
10954,METALKIT,NIPLE REDUC 1.1/2 X 1.1/4 METAL,UN-UN,SEM GTIN,,"15,50",1,,,
10951,METALKIT,NIPLE REDUC 1.1/2 X 1/2 METAL,UN-UN,SEM GTIN,,"15,50",1,,,
10950,METALKIT,NIPLE REDUC 1.1/4 X 1 METAL,UN-UN,SEM GTIN,,"15,50",1,,,
10956,METALKIT,NIPLE REDUC 2 X 1 METAL,UN-UN,SEM GTIN,,"23,00",1,,,
10957,METALKIT,NIPLE REDUC 2 X 1.1/4 METAL,UN-UN,SEM GTIN,,"23,00",1,,,
10955,METALKIT,NIPLE REDUC 2 X 3/4 METAL,UN-UN,SEM GTIN,,"23,00",1,,,
