EAN/GTIN,TITULO,MARCA,CATEGORIA,SUB-CATEGORIA,IMAGE,VALOR,ORIGEM
3121040077139,"Ferro a Vapor Elétrico Arno Steamgliss Base Antiaderente Verde 127V - FSGP, Azul Petróleo",Arno,Casa,Ferros a Vapor,https://m.media-amazon.com/images/I/71S9O9aS1pL._AC_SX450_.jpg,"131,12",https://www.amazon.com.br/Ferro-El%C3%A9trico-Arno-Steamgliss-Antiaderente/dp/B085M2NKKY/
3121040077146,"Ferro a Vapor Elétrico, Steamgliss, Base Cerâmica, 110v, Rosa, Arno",Arno,Casa,Ferros a Vapor,https://m.media-amazon.com/images/I/71HgZw5qwJL._AC_SX450_.jpg,"255,90",https://www.amazon.com.br/Ferro-El%C3%A9trico-Arno-Steamgliss-Cer%C3%A2mica/dp/B085M2QXVQ/
4008321660176,Lâmpada Fluorescente T10 20w Osram Branco,Ledvance,Casa,Lâmpadas,https://m.media-amazon.com/images/I/51JUo93y3BL._AC_SY355_.jpg,indisponivel,https://www.amazon.com.br/Osram-7012633-L%C3%A2mpada-Branco/dp/B07CJCBGS8
4019208012759,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
4021226191019,Mola para Porta Prata Ref. MA 200/2,Dorma,indisponivel,indisponivel,https://m.media-amazon.com/images/I/51BwU-kmLxL._AC_SY550_.jpg,"240,88",https://www.amazon.com.br/Mola-para-Porta-Prata-Ref/dp/B07KJGT21P/
4044996044880,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
4044996101545,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
4044996106717,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
4711815661190,STANLEY Chave de Fenda para Teste de Corrente 100V a 500V 66-119-23,Stanley,Ferramentas e Materiais de Construção,Chaves de Fenda,https://m.media-amazon.com/images/I/61cpx-YcSGL._AC_SY355_.jpg,"8,00",https://www.amazon.com.br/Stanley-66-119-Chave-Corrente-Amarelo/dp/B00871VRGA/
4712780137659,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
4713157490957,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
4713309147357,Câmara de Ar para Bicicleta Aro 29x1.90/2.3 Kenda Schrader AV Bico Grosso,KENDA,"Esporte, Aventura e Lazer",Câmaras,https://m.media-amazon.com/images/I/6140dUSH9fL._AC_SX425_.jpg,"38,90",https://www.amazon.com.br/C%C3%A2mara-Bicicleta-29x1-90-Schrader-Grosso/dp/B09HY8B19D/
4717294988025,PNEU BICICLETA A26X1.95 KENDA,KENDA,"Esporte, Aventura e Lazer",Freios e Peças,https://m.media-amazon.com/images/I/518WjNCSvbL._AC_SX425_.jpg,"64,30",https://www.amazon.com.br/PNEU-KENDA-26X1-95-K816-PTO/dp/B08MWWQ2H5/
4717294988636,CAMARA AR BICICLETA ARO26 KENDA,KENDA,"Esporte, Aventura e Lazer",Câmaras,https://m.media-amazon.com/images/I/61s3fm-ULfS._AC_SX425_.jpg,"26,90",https://www.amazon.com.br/CAMARA-AR-BICICLETA-ARO26-KENDA/dp/B07NSCTTHG/
4891102116746,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
4891138948922,Linterna Eveready Led 25 Lumens 2 Pilas Incluida Aventureros,35 m,Deportes y Fitness,De Mano,https://http2.mlstatic.com/D_NQ_NP_937789-MLA49501726839_032022-O.webp,indisponivel,https://www.ocompra.com/argentina/item/linterna-eveready-led-25-lumens-2-pilas-incluida-aventureros-926375401/
4895185612188,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
5035048543771,STANLEY Esmerilhadeira Angular de 4 1/2 Pol. (114mm) 600W 110V STGS6115,STANLEY BLACK & DECKER,Ferramentas e Materiais de Construção,Esmerilhadeiras,https://m.media-amazon.com/images/I/51dYkom3brL._AC_SY355_.jpg,"306,90",https://www.amazon.com.br/Stanley-STGS6115-BR-Esmerilhadeira-Angular-Amarelo/dp/B076Y8BT4T/
5203646520634,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
5379861524891,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
5379861526727,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
5415329877663,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
5457862546019,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
5706915058772,IRWIN Alicate Isolado NBR Universal de 8 Pol. (203mm) 10505877,IRWIN,Ferramentas e Materiais de Construção,Alicates e Pinças,https://images-na.ssl-images-amazon.com/images/I/71YatF9tKwL.__AC_SX342_SY445_QL70_ML2_.jpg,"78,62",https://www.amazon.com.br/Irwin-IW13981-Alicate-Isolado-Universal/dp/B000X1T1NS/
5854545139061,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6196590668882,CARTAO DE MEMORIA SANDISK 16GB - SDSDQM-016G-B35A,SanDisk,Eletrônicos e Tecnologia,Cartões de Memória,https://m.media-amazon.com/images/I/81wc6-9IJ3L._AC_SY606_.jpg,indisponivel,https://www.amazon.com.br/CARTAO-MEMORIA-SANDISK-16GB-SDSDQM-016G-B35A/dp/B001F7AJKI
6196590670212,Cartão Micro SD SanDisk com Adaptador 8GB,SanDisk,Eletrônicos e Tecnologia,Cartões de Memória,https://m.media-amazon.com/images/I/91y+OS43CbL._AC_SY606_.jpg,indisponivel,https://www.amazon.com.br/MicroSDHC-Adapter-SanDisk-Cart%C3%B5es-Preto/dp/B004ZIEMWU
6196591297364,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6904556670028,Lampada Halogena Bipino 35W 12V G4 Sincrona,Sincrona,Casa,Lâmpadas,https://m.media-amazon.com/images/I/41veH5LguuL._AC_SX466_.jpg,"32,97",https://www.amazon.com.br/Lampada-Halogena-Bipino-35W-Sincrona/dp/B09L5ZHW51/
6920110021136,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6920110021167,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6920110021174,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6920110021181,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6920170520105,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6920180813129,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6920201701008,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6920201701015,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6920201703002,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6920303707915,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922021069016,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922021069023,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922021069030,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922021069061,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922021069207,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711083018,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711083063,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711083087,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711083094,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711083124,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711083209,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711083421,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711083445,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711083520,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711083568,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084084,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084091,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084107,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084114,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084374,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084381,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084466,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084497,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084503,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084527,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
6922711084749,desconhecido,desconhecida,desconhecida,desconhecida,desconhecida,desconhecido,desconhecida
